File created on 2020-10-26T13:51:13.110330
#COOR
GSM

#VAR
bx by bz ux uy uz n hprho hppsrho t

#START
2000 01 01 00 47 00 000       -2.70       2.23       0.57    -351.19        0.00        0.00      12.780  12.779   0.001  52512.40
2000 01 01 00 48 00 000       -2.70       2.23       0.60    -351.19        0.00        0.00      12.850  12.849   0.001  52689.80
2000 01 01 00 49 00 000       -2.70       2.23       0.62    -351.12        0.00        0.00      12.850  12.849   0.001  52947.78
2000 01 01 00 50 00 000       -2.70       2.23       0.62    -351.19        0.00        0.00      12.860  12.859   0.001  52689.80
2000 01 01 00 51 00 000       -2.70       2.23       0.64    -351.19        0.00        0.00      12.860  12.859   0.001  52689.80
2000 01 01 00 52 00 000       -2.70       2.23       0.68    -351.19        0.00        0.00      12.870  12.869   0.001  52738.40
2000 01 01 00 53 00 000       -2.70       2.23       0.70    -351.19        0.00        0.00      12.900  12.899   0.001  52947.78
2000 01 01 00 54 00 000       -2.70       2.23       0.71    -351.21        0.00        0.00      12.930  12.929   0.001  53081.60
2000 01 01 00 55 00 000       -2.70       2.23       0.74    -351.27        0.00        0.00      12.960  12.959   0.001  53081.60
2000 01 01 00 56 00 000       -2.70       2.23       0.74    -351.48        0.00        0.00      12.960  12.959   0.001  53097.70
2000 01 01 00 57 00 000       -2.70       2.23       0.76    -351.51        0.00        0.00      13.010  13.009   0.001  53190.20
2000 01 01 00 58 00 000       -2.70       2.23       0.80    -351.51        0.00        0.00      13.010  13.009   0.001  53209.00
2000 01 01 00 59 00 000       -2.70       2.23       0.96    -351.52        0.00        0.00      13.010  13.009   0.001  53209.00
2000 01 01 01 00 00 000       -2.46       2.23       0.98    -351.55        0.00        0.00      13.010  13.009   0.001  53358.70
2000 01 01 01 01 00 000       -2.46       2.07       1.00    -351.58        0.00        0.00      13.010  13.009   0.001  53495.50
2000 01 01 01 02 00 000       -2.46       2.07       1.00    -351.86        0.00        0.00      13.010  13.009   0.001  53495.50
2000 01 01 01 03 00 000       -2.46       2.07       1.01    -352.01        0.00        0.00      13.010  13.009   0.001  53495.50
2000 01 01 01 04 00 000       -2.46       2.07       1.06    -352.01        0.00        0.00      13.030  13.029   0.001  53596.60
2000 01 01 01 05 00 000       -2.46       2.07       1.08    -352.06        0.00        0.00      13.030  13.029   0.001  53611.80
2000 01 01 01 06 00 000       -2.46       2.07       1.08    -352.13        0.00        0.00      13.050  13.049   0.001  53596.60
2000 01 01 01 07 00 000       -2.46       2.07       1.08    -352.18        0.00        0.00      13.050  13.049   0.001  53596.60
2000 01 01 01 08 00 000       -2.46       2.07       1.08    -352.49        0.00        0.00      13.050  13.049   0.001  53596.60
2000 01 01 01 09 00 000       -2.46       2.07       1.08    -352.49        0.00        0.00      13.050  13.049   0.001  53596.60
2000 01 01 01 10 00 000       -2.46       2.07       1.08    -352.49        0.00        0.00      13.080  13.079   0.001  53596.60
2000 01 01 01 11 00 000       -2.46       2.07       1.08    -352.50        0.00        0.00      13.080  13.079   0.001  53589.50
2000 01 01 01 12 00 000       -2.46       2.07       1.08    -352.50        0.00        0.00      13.080  13.079   0.001  53589.50
2000 01 01 01 13 00 000       -2.46       2.07       1.08    -352.50        0.00        0.00      13.080  13.079   0.001  53596.60
2000 01 01 01 14 00 000       -2.46       2.07       1.10    -352.49        0.00        0.00      13.090  13.089   0.001  53620.60
2000 01 01 01 15 00 000       -2.46       2.07       1.10    -352.49        0.00        0.00      13.090  13.089   0.001  53620.60
2000 01 01 01 16 00 000       -2.46       2.07       1.12    -352.18        0.00        0.00      13.090  13.089   0.001  53620.60
2000 01 01 01 17 00 000       -2.46       2.07       1.18    -352.18        0.00        0.00      13.090  13.089   0.001  53620.60
2000 01 01 01 18 00 000       -2.46       2.07       1.18    -352.18        0.00        0.00      13.110  13.109   0.001  53627.00
2000 01 01 01 19 00 000       -2.46       2.07       1.18    -352.18        0.00        0.00      13.130  13.129   0.001  53708.90
