File created on 2025-03-04T16:03:35.267070
32 min time shift appliedSource data from dscovrFile created on 2025-03-04 16:03:35.266466#COOR
GSM


#START
2017 09 06 18 50 00 000        0.71      -2.13       1.33    -403.29       6.74      11.75       3.79   31535.73
2017 09 06 18 51 00 000        0.54      -2.21       1.23    -403.32       6.10      11.45       3.86   30870.50
2017 09 06 18 52 00 000        0.80      -2.29       0.98    -401.69       4.27       9.87       3.86   31719.59
2017 09 06 18 53 00 000        1.00      -2.13       1.10    -400.79       0.56      13.27       3.83   32616.80
2017 09 06 18 54 00 000        1.06      -1.93       1.41    -399.37       0.46      16.98       3.82   30610.80
2017 09 06 18 55 00 000        1.16      -1.90       1.33    -397.59       0.99      17.10       3.54   25358.83
2017 09 06 18 56 00 000        1.21      -1.79       1.49    -396.59       3.24      17.69       3.51   25545.33
2017 09 06 18 57 00 000        1.32      -1.68       1.43    -395.80       1.96      16.64       3.54   26818.19
2017 09 06 18 58 00 000        1.42      -1.65       1.40    -395.43       2.77      14.58       3.47   27410.53
2017 09 06 18 59 00 000        1.39      -1.70       1.37    -396.12       1.72      12.56       3.42   27087.43
2017 09 06 19 00 00 000        1.33      -1.70       1.44    -396.20       2.68      13.11       3.31   25883.61
2017 09 06 19 01 00 000        1.43      -1.65       1.38    -395.47       2.88      12.86       3.37   27085.92
2017 09 06 19 02 00 000        1.36      -1.72       1.37    -396.06       1.47      12.73       3.38   26459.18
2017 09 06 19 03 00 000        1.22      -1.88       1.27    -397.25       1.28      14.41       3.37   25351.74
2017 09 06 19 04 00 000        1.19      -1.67       1.54    -397.39       2.23      16.58       3.34   24764.54
2017 09 06 19 05 00 000        1.20      -1.61       1.50    -396.92       3.14      18.32       3.40   25105.41
2017 09 06 19 06 00 000        1.24      -1.52       1.50    -396.37       4.60      17.09       3.39   25902.45
2017 09 06 19 07 00 000        1.22      -1.60       1.33    -396.85       2.27      12.41       3.35   26201.67
2017 09 06 19 08 00 000        1.18      -1.91       1.08    -397.09       0.83      10.00       3.31   25854.95
2017 09 06 19 09 00 000        1.13      -2.21       0.56    -397.13       0.99      11.40       3.29   24798.08
2017 09 06 19 10 00 000        1.19      -2.07       1.09    -397.44       2.20      13.70       3.26   24158.87
2017 09 06 19 11 00 000        1.01      -2.08       1.20    -398.22       1.97      13.06       3.29   24915.59
2017 09 06 19 12 00 000        0.93      -2.12       1.13    -397.41       0.95       9.90       3.28   25623.83
2017 09 06 19 13 00 000        1.13      -2.22       0.71    -396.63       1.04       6.61       3.24   26100.26
2017 09 06 19 14 00 000        1.08      -2.12       1.00    -396.07       0.94       4.72       3.25   25935.36
