MIDL Ballistic 32Re Data for 2015-03-16 to 2015-03-20

#COORDINATES
GSM

yr mo dy hr mn sc msc bx by bz ux uy uz rho T

#START
2015  3 16  1  3  0    0     2.36    -7.59     0.55    -324.0     -8.27      0.58    28.360      58307
2015  3 16  1  4  0    0     2.20    -7.56     0.37    -323.7     -8.77     -0.34    28.149      57972
2015  3 16  1  5  0    0     2.29    -7.58     0.16    -322.8    -10.36     -2.37    27.535      55859
2015  3 16  1  6  0    0     2.54    -7.45    -0.30    -322.5     -9.16     -5.12    27.825      51640
2015  3 16  1  7  0    0     2.65    -7.14    -0.39    -322.8     -6.09     -5.99    30.769      48687
2015  3 16  1  8  0    0     2.46    -6.55    -0.24    -324.3     -3.96     -4.86    34.999      46959
2015  3 16  1  9  0    0     2.54    -6.53     0.17    -324.3     -3.18     -4.12    35.000      46188
2015  3 16  1 10  0    0     2.89    -7.25     0.79    -322.7     -5.70     -8.61    35.149      46149
2015  3 16  1 11  0    0     3.06    -7.45     1.10    -322.0     -6.87    -10.85    35.294      46122
2015  3 16  1 12  0    0     3.07    -7.24     1.20    -322.6     -6.28    -10.66    35.439      46038
2015  3 16  1 13  0    0     3.06    -5.36     1.85    -326.0     -0.96     -9.98    35.584      45902
2015  3 16  1 14  0    0     3.08    -4.28     2.94    -327.6     -0.96     -9.22    35.729      45766
2015  3 16  1 15  0    0     3.04    -4.31     1.76    -326.5      1.83     -5.85    35.874      45629
2015  3 16  1 16  0    0     2.97    -4.37     0.35    -325.2      4.72     -2.49    36.019      45493
2015  3 16  1 17  0    0     2.81    -4.38    -0.06    -325.8      4.47     -2.51    35.949      45230
2015  3 16  1 18  0    0     2.55    -4.59    -0.30    -327.2      4.09     -2.74    35.670      43945
2015  3 16  1 19  0    0     2.67    -4.52    -0.58    -327.6      4.50     -3.25    36.008      43447
2015  3 16  1 20  0    0     2.76    -4.13    -0.95    -327.3      5.42     -3.70    36.652      45120
2015  3 16  1 21  0    0     2.69    -3.63    -1.20    -327.5      6.46     -3.71    37.070      47540
2015  3 16  1 22  0    0     2.26    -2.39    -1.20    -328.2      7.58     -3.39    37.039      49497
2015  3 16  1 23  0    0     1.69    -0.96    -0.74    -328.3     10.41     -1.50    36.691      49703
2015  3 16  1 24  0    0     1.54    -0.37    -0.51    -327.7     11.46     -0.70    36.142      49189
2015  3 16  1 25  0    0     1.69    -0.20    -0.46    -326.6     10.85     -1.03    35.585      49012
2015  3 16  1 26  0    0     2.01    -0.18    -0.48    -325.3      9.98     -1.50    35.114      48490
2015  3 16  1 27  0    0     2.47    -0.19    -0.55    -324.4      9.77     -1.49    34.780      46923
2015  3 16  1 28  0    0     2.77    -0.09    -0.73    -324.2      9.48     -1.37    33.977      44547
2015  3 16  1 29  0    0     2.91     0.39    -0.76    -324.6      8.09     -1.38    33.045      43363
2015  3 16  1 30  0    0     3.27     1.67    -0.22    -325.0      9.14     -0.65    32.842      43859
2015  3 16  1 31  0    0     3.48     2.44     0.05    -324.9     12.61      1.07    33.201      46117
2015  3 16  1 32  0    0     3.42     2.94     0.02    -324.1     14.19      2.13    33.882      46582
2015  3 16  1 33  0    0     3.19     3.18     0.12    -323.9     15.37      3.62    34.308      46625
2015  3 16  1 34  0    0     2.97     3.11     0.38    -324.0     15.63      3.86    34.243      47081
2015  3 16  1 35  0    0     3.05     2.99     0.30    -323.6     15.43      3.94    34.082      47515
2015  3 16  1 36  0    0     3.28     2.84     0.02    -323.0     15.77      3.80    33.930      47664
2015  3 16  1 37  0    0     3.39     2.71    -0.10    -321.9     15.72      3.65    33.859      47698
2015  3 16  1 38  0    0     3.48     2.49    -0.17    -321.0     15.42      3.38    33.840      47307
2015  3 16  1 39  0    0     3.57     2.17    -0.26    -320.7     14.95      3.00    33.852      46089
2015  3 16  1 40  0    0     3.54     2.13    -0.22    -320.9     14.40      3.13    33.700      44972
2015  3 16  1 41  0    0     3.56     2.13    -0.40    -321.1     14.15      3.51    33.061      45037
2015  3 16  1 42  0    0     3.59     2.17    -0.62    -321.4     13.75      3.87    32.312      45169
2015  3 16  1 43  0    0     3.65     2.18    -0.75    -322.0     13.02      4.41    31.791      45005
2015  3 16  1 44  0    0     3.61     2.14    -0.74    -322.8     12.34      4.84    31.395      43616
2015  3 16  1 45  0    0     3.52     2.27    -0.81    -323.0     11.64      5.10    30.802      43077
2015  3 16  1 46  0    0     3.23     2.24    -0.87    -324.6     11.75      4.83    30.434      43136
2015  3 16  1 47  0    0     3.03     1.63    -0.42    -324.0     12.40      4.93    30.686      43728
2015  3 16  1 48  0    0     3.14     1.00    -0.24    -323.6     12.73      5.04    31.104      43898
2015  3 16  1 49  0    0     3.71     0.75     0.45    -322.7     12.91      5.31    31.486      45566
2015  3 16  1 50  0    0     4.40     0.39     1.03    -322.0     13.55      5.63    32.902      46282
2015  3 16  1 51  0    0     4.76    -0.12     1.55    -321.7     14.59      5.79    35.252      46282
2015  3 16  1 52  0    0     4.56    -0.56     1.75    -321.8     14.21      4.72    36.720      46482
2015  3 16  1 53  0    0     4.32    -0.69     1.65    -322.3     13.22      3.75    36.658      47560
2015  3 16  1 54  0    0     4.22    -0.41     2.03    -322.5     13.62      3.89    36.354      48848
2015  3 16  1 55  0    0     4.20     0.04     2.31    -322.0     14.30      4.67    35.805      50422
2015  3 16  1 56  0    0     4.61     0.84     2.18    -321.1     15.39      5.61    35.053      51497
2015  3 16  1 57  0    0     5.53     1.89     1.73    -320.2     16.69      6.18    34.168      51146
2015  3 16  1 58  0    0     6.23     2.05     1.28    -319.2     16.64      6.37    33.379      49233
2015  3 16  1 59  0    0     6.61     2.04     1.67    -318.6     15.17      6.36    32.748      49042
2015  3 16  2  0  0    0     7.17     1.69     2.81    -320.0     13.41      6.26    32.228      50230
2015  3 16  2  1  0    0     6.88     1.70     3.06    -322.1     13.76      6.53    32.712      50849
2015  3 16  2  2  0    0     6.45     1.43     3.18    -321.9     14.91      6.84    34.486      52927
2015  3 16  2  3  0    0     5.95     1.31     3.21    -321.6     15.85      7.12    36.203      55735
2015  3 16  2  4  0    0     5.46     1.22     3.10    -322.3     15.54      6.64    36.863      56820
2015  3 16  2  5  0    0     5.36     0.77     3.11    -324.0     14.83      6.08    36.914      57300
2015  3 16  2  6  0    0     5.26     0.66     3.33    -325.4     14.76      5.68    36.813      57794
2015  3 16  2  7  0    0     5.21     0.64     3.38    -325.9     14.62      5.69    36.228      56969
2015  3 16  2  8  0    0     5.15     0.60     3.62    -326.2     14.46      6.41    36.013      53653
2015  3 16  2  9  0    0     5.11     0.42     4.38    -325.9     14.43      7.28    36.168      51177
2015  3 16  2 10  0    0     5.06     0.03     5.27    -326.3     14.30      7.47    36.206      51823
2015  3 16  2 11  0    0     4.99    -0.23     5.46    -325.8     14.10      7.46    35.824      53697
2015  3 16  2 12  0    0     4.89    -0.33     5.49    -323.7     13.96      7.82    35.300      55590
2015  3 16  2 13  0    0     4.64    -0.57     5.56    -325.3     13.27      6.69    34.300      54468
2015  3 16  2 14  0    0     4.39    -0.46     5.27    -325.7     13.23      7.70    35.371      50157
2015  3 16  2 15  0    0     4.00     0.98     4.29    -327.9     13.75      8.27    40.221      50130
2015  3 16  2 16  0    0     3.71     2.37     3.99    -328.9     14.68      8.21    41.225      50123
2015  3 16  2 17  0    0     3.69     2.62     3.96    -329.2     14.80      7.90    41.358      50238
2015  3 16  2 18  0    0     3.60     1.80     3.88    -330.3     12.14      7.91    40.695      53111
2015  3 16  2 19  0    0     2.17     1.25     3.43    -335.3      9.99      6.08    39.258      58314
2015  3 16  2 20  0    0     1.99     1.51     3.21    -336.1      9.48      5.46    39.861      57415
2015  3 16  2 21  0    0     2.25     1.37     3.96    -335.5      9.58      5.63    40.813      55945
2015  3 16  2 22  0    0     2.68     1.07     5.26    -334.1     10.05      6.60    41.333      55062
2015  3 16  2 23  0    0     2.58     0.57     5.59    -332.7     12.29      8.13    41.482      54868
2015  3 16  2 24  0    0     2.47     0.72     5.12    -332.4     13.19      8.22    41.787      54611
2015  3 16  2 25  0    0     2.62     0.46     5.24    -332.4     13.63      8.03    42.205      54329
2015  3 16  2 26  0    0     2.66     0.14     5.56    -331.2     13.55      7.85    43.051      52722
2015  3 16  2 27  0    0     2.68     0.03     5.74    -329.9     13.50      7.64    44.189      50974
2015  3 16  2 28  0    0     2.70     0.34     5.27    -329.6     14.14      7.40    45.826      50333
2015  3 16  2 29  0    0     1.72     0.69     2.27    -329.9     14.55      6.40    47.207      50579
2015  3 16  2 30  0    0     0.25     2.05    -1.95    -331.0     14.81      4.32    47.492      51432
2015  3 16  2 31  0    0    -0.42     2.89    -3.63    -331.9     14.21      3.30    46.920      50902
2015  3 16  2 32  0    0    -0.65     3.33    -3.98    -334.0     12.67      3.33    46.449      50580
2015  3 16  2 33  0    0    -0.78     3.30    -4.14    -333.8     12.03      4.70    47.311      50119
2015  3 16  2 34  0    0    -0.54     3.41    -3.77    -332.3     12.95      5.78    47.784      46686
2015  3 16  2 35  0    0    -0.32     3.82    -3.45    -331.3     13.76      7.11    48.061      43478
2015  3 16  2 36  0    0    -0.09     4.26    -3.18    -331.0     14.15      8.16    47.927      41788
2015  3 16  2 37  0    0     0.11     4.15    -2.78    -331.0     13.70      8.37    47.582      41699
2015  3 16  2 38  0    0     0.17     3.50    -2.31    -331.3     12.27      7.84    47.462      41699
2015  3 16  2 39  0    0    -0.27     3.13    -2.48    -331.7     10.75      8.46    42.798      39123
2015  3 16  2 40  0    0    -1.67     3.12    -4.80    -331.7      9.92      9.75    37.298      35344
2015  3 16  2 41  0    0    -2.84     3.25    -7.17    -331.7      8.95      9.58    35.581      33607
2015  3 16  2 42  0    0    -3.11     3.39    -7.81    -331.8      8.14      8.96    35.092      33244
2015  3 16  2 43  0    0    -2.97     3.53    -7.85    -332.2      7.78      8.34    34.276      33169
2015  3 16  2 44  0    0    -2.88     3.77    -8.02    -332.3      8.15      8.46    32.736      32804
2015  3 16  2 45  0    0    -2.94     3.88    -8.17    -332.3      8.39      7.48    30.586      32660
2015  3 16  2 46  0    0    -2.92     4.07    -8.31    -333.6      8.99      5.91    27.773      33014
2015  3 16  2 47  0    0    -2.63     4.88    -8.38    -334.0      8.26      4.31    26.621      33373
2015  3 16  2 48  0    0    -2.64     4.65    -8.51    -336.0      7.87      2.35    25.936      34076
2015  3 16  2 49  0    0    -2.86     4.16    -8.53    -336.3      8.03      1.87    25.592      35169
2015  3 16  2 50  0    0    -2.79     4.19    -8.40    -336.9      8.13      1.75    25.580      36602
2015  3 16  2 51  0    0    -2.79     5.05    -7.97    -337.5      6.03      1.27    25.648      37566
2015  3 16  2 52  0    0    -2.60     5.29    -7.13    -337.5      4.34      0.49    25.595      38044
2015  3 16  2 53  0    0    -2.50     5.56    -6.54    -337.9      3.90     -0.34    25.545      39109
