Produced from MIDL 1D BATSRUS MHD at x=32.00 Re (nT, km/s, cm^-3, K)

#COORDINATES
GSM

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  9  0 59  0   0     -1.21      2.18     -0.01   -467.87      2.26    -10.41    3.1064   169539.2
2024  5  9  1  0  0   0     -1.05      2.06     -0.00   -466.85     -1.11    -11.87    2.9542   176231.1
2024  5  9  1  1  0   0     -1.05      1.89      0.12   -467.16     -0.21    -11.02    2.8939   175806.9
2024  5  9  1  2  0   0     -1.14      1.97      0.26   -466.22      2.25     -9.04    2.6932   183829.1
2024  5  9  1  3  0   0     -1.06      1.94      0.39   -466.88      4.26    -10.16    2.6570   193957.5
2024  5  9  1  4  0   0     -1.16      1.82      0.48   -469.88      6.10    -12.61    2.6850   196658.2
2024  5  9  1  5  0   0     -1.40      1.97      0.44   -470.35      5.65    -13.30    2.5964   193845.5
2024  5  9  1  6  0   0     -1.39      2.08      0.46   -469.64      4.34    -12.46    2.6296   189606.5
2024  5  9  1  7  0   0     -1.33      2.23      0.55   -470.37      0.68     -9.47    2.8684   187127.4
2024  5  9  1  8  0   0     -1.44      2.40      0.48   -471.62     -0.76     -5.80    3.0209   183828.1
2024  5  9  1  9  0   0     -1.56      2.40      0.26   -470.21      1.23     -3.45    2.9552   185789.5
2024  5  9  1 10  0   0     -1.54      2.40      0.19   -467.14      1.78     -0.66    2.8728   191058.1
2024  5  9  1 11  0   0     -1.17      2.40      0.24   -463.39      0.57      1.69    2.8086   192607.4
2024  5  9  1 12  0   0     -0.86      2.30      0.11   -461.15     -1.04     -1.17    2.7530   192101.3
2024  5  9  1 13  0   0     -0.64      2.22      0.00   -460.54      0.34     -6.25    2.6523   190257.3
2024  5  9  1 14  0   0     -0.41      2.02      0.21   -460.04      3.18    -10.19    2.5848   189164.3
2024  5  9  1 15  0   0     -0.28      1.72      0.69   -460.37      2.57    -10.56    2.6032   189135.7
2024  5  9  1 16  0   0     -0.39      1.51      1.23   -460.42      2.75    -11.19    2.6092   186657.0
