File created on 2025-12-12T09:40:03.496433
Converted from 1au_mesoscale_point4_MedRes.dat
#COOR
GSM


#START
2014 09 12 20 15 27 033       -0.31       0.49      -0.32    -296.36      22.31     -44.93      25.14   34375.18
2014 09 12 20 15 40 441       -0.31       0.49      -0.31    -296.37      22.31     -44.92      25.14   34376.20
2014 09 12 20 15 53 848       -0.31       0.49      -0.31    -296.37      22.31     -44.91      25.14   34377.51
2014 09 12 20 16 00 000       -0.31       0.49      -0.31    -296.37      22.31     -44.91      25.14   34379.42
2014 09 12 20 16 13 407       -0.31       0.49      -0.31    -296.38      22.30     -44.90      25.15   34380.73
2014 09 12 20 16 26 815       -0.31       0.49      -0.31    -296.38      22.30     -44.89      25.15   34382.03
2014 09 12 20 16 40 222       -0.30       0.48      -0.31    -296.38      22.30     -44.88      25.15   34383.34
2014 09 12 20 16 53 630       -0.30       0.48      -0.31    -296.39      22.30     -44.87      25.16   34384.65
2014 09 12 20 17 07 038       -0.30       0.48      -0.31    -296.39      22.29     -44.86      25.16   34385.87
2014 09 12 20 17 20 446       -0.30       0.48      -0.31    -296.40      22.29     -44.85      25.16   34387.18
2014 09 12 20 17 33 855       -0.30       0.47      -0.31    -296.40      22.29     -44.84      25.17   34388.48
2014 09 12 20 17 40 000       -0.30       0.47      -0.31    -296.40      22.29     -44.84      25.17   34390.39
2014 09 12 20 17 53 408       -0.30       0.47      -0.31    -296.41      22.29     -44.83      25.17   34391.90
2014 09 12 20 18 06 817       -0.30       0.47      -0.31    -296.41      22.28     -44.82      25.18   34393.21
2014 09 12 20 18 20 225       -0.29       0.47      -0.31    -296.42      22.28     -44.81      25.18   34394.51
2014 09 12 20 18 33 634       -0.29       0.46      -0.31    -296.42      22.28     -44.81      25.18   34395.81
2014 09 12 20 18 47 042       -0.29       0.46      -0.30    -296.42      22.28     -44.80      25.19   34397.12
2014 09 12 20 19 00 451       -0.29       0.46      -0.30    -296.43      22.27     -44.79      25.19   34398.34
2014 09 12 20 19 13 860       -0.29       0.46      -0.30    -296.43      22.27     -44.78      25.19   34399.93
2014 09 12 20 19 20 000       -0.29       0.46      -0.30    -296.43      22.27     -44.78      25.20   34401.46
2014 09 12 20 19 33 408       -0.29       0.45      -0.30    -296.44      22.27     -44.77      25.20   34403.05
2014 09 12 20 19 46 817       -0.29       0.45      -0.30    -296.44      22.27     -44.76      25.20   34404.35
2014 09 12 20 20 00 226       -0.28       0.45      -0.30    -296.45      22.26     -44.75      25.21   34405.57
2014 09 12 20 20 13 636       -0.28       0.45      -0.30    -296.45      22.26     -44.74      25.21   34407.16
2014 09 12 20 20 27 045       -0.28       0.45      -0.30    -296.46      22.26     -44.73      25.21   34408.46
2014 09 12 20 20 40 455       -0.28       0.44      -0.30    -296.46      22.26     -44.72      25.22   34409.68
